"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession","PubMed ID","First Author",Location
rs12743520-<b>?</b>,"4 x 10-8",,NR,1.0752687,'-,'-,EVI5,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",1:92571555
rs1017494-<b>?</b>,"2 x 10-16",,NR,1.0638298,'-,'-,"AC104394.1, AC010148.1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",2:234770601
rs1214598-<b>?</b>,"5 x 10-11",,NR,1.0526316,'-,'-,"CD247, AL359962.3","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",1:167457187
rs659529-<b>?</b>,"6 x 10-11",,NR,1.0526316,'-,'-,"LAYN, SIK2","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",11:111566171
rs3208007-<b>?</b>,"3 x 10-10",,NR,1.0526316,'-,'-,"RTEL1-TNFRSF6B, RTEL1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",20:63690935
rs301805-<b>?</b>,"6 x 10-9",,NR,1.0416667,'-,'-,RERE,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",1:8420956
rs742230-<b>?</b>,"1 x 10-8",,NR,1.0416667,'-,'-,RUNX3,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",1:24924933
rs10876864-<b>?</b>,"1 x 10-13",,NR,1.05,'-,'-,"IKZF4, SUOX","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",12:56007301
rs56267605-<b>?</b>,"3 x 10-12",,NR,1.05,'-,'-,"ADAD1, IL2","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",4:122441954
rs6461503-<b>?</b>,"3 x 10-10",,NR,1.05,'-,'-,"EEF1A1P27, ITGB8","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",7:20521373
rs10795656-<b>?</b>,"4 x 10-10",,NR,1.05,'-,'-,"CHCHD3P1, KRT8P37","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",10:8553876
rs8008961-<b>?</b>,"1 x 10-8",,NR,1.05,'-,'-,RAD51B,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",14:68285926
rs270636-<b>?</b>,"4 x 10-11",,NR,1.06,'-,'-,LINC02121,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",5:5074712
rs793607-<b>?</b>,"3 x 10-28",,NR,1.08,'-,'-,"DUBR, AC063944.1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",3:107340876
rs276666-<b>?</b>,"8 x 10-11",,NR,1.08,'-,'-,"AL589645.1, FAM205C","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",9:34889447
rs2169282-<b>?</b>,"2 x 10-10",,NR,1.09,'-,'-,"TPD52L3, UHRF2","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",9:6350235
rs2136016-<b>?</b>,"2 x 10-9",,NR,1.09,'-,'-,AC034114.2,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",8:80388446
rs10074523-<b>?</b>,"2 x 10-10",,NR,1.1,'-,'-,KIF3A,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",5:132724891
rs2548992-<b>?</b>,"5 x 10-10",,NR,1.1,'-,'-,"AC116366.2, AC116366.3, IRF1-AS1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",5:132472976
rs869402-<b>?</b>,"4 x 10-17",,NR,1.12,'-,'-,GSDMB,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",17:39911790
rs61839660-<b>?</b>,"2 x 10-11",,NR,1.12,'-,'-,IL2RA,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",10:6052734
rs7705653-<b>?</b>,"1 x 10-19",,NR,1.14,'-,'-,"AC008782.1, SLC25A46","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",5:110807116
rs61816766-<b>?</b>,"5 x 10-12",,NR,1.14,'-,'-,FLG-AS1,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",1:152347096
rs61815704-<b>?</b>,"5 x 10-9",,NR,1.14,'-,'-,"IVL, LINC01527","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,29785011,"Zhu Z",1:152921415
rs6755248-<b>G</b>,"1 x 10-6",,NR,1.034,'-,[1.02-1.05],"AC093884.1, AP1S3",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:223799333
rs10187276-<b>T</b>,"3 x 10-7",,NR,1.041,'-,[1.03-1.06],"CCL20, AC073065.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:227805721
rs34290285-<b>G</b>,"9 x 10-52",,NR,1.124,'-,[1.11-1.14],D2HGDH,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:241759225
rs35570272-<b>T</b>,"3 x 10-20",,NR,1.066,'-,[1.05-1.08],GLB1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:33006170
rs4491851-<b>A</b>,"3 x 10-19",,NR,1.063,'-,[1.05-1.08],GLB1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:33042493
rs1806656-<b>C</b>,"7 x 10-9",,NR,1.043,'-,[1.03-1.06],ILDR1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:121997324
rs7625643-<b>G</b>,"3 x 10-8",,NR,1.039,'-,[1.03-1.05],ZBTB38,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:141431184
rs62296577-<b>C</b>,"9 x 10-14",,NR,1.055,'-,[1.04-1.07],TBL1XR1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:177131952
rs7626218-<b>A</b>,"5 x 10-15",,NR,1.056,'-,[1.04-1.07],TBL1XR1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:177134250
rs9860547-<b>A</b>,"6 x 10-17",,NR,1.059,'-,[1.05-1.07],LPP,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:188411191
rs55661102-<b>A</b>,"9 x 10-13",,NR,1.067,'-,[1.05-1.08],LPP,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:188683350
rs11715524-<b>A</b>,"4 x 10-10",,NR,1.044,'-,[1.03-1.06],TFRC,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:196035621
rs1684466-<b>G</b>,"9 x 10-13",,NR,1.053,'-,[1.04-1.07],LINC01063,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",3:196632439
rs5743618-<b>C</b>,"2 x 10-31",,NR,1.097,'-,[1.08-1.11],TLR1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",4:38797027
rs190438685-<b>T</b>,"3 x 10-7",,NR,1.156,'-,[1.1-1.21],"RFC1, RNU6-887P",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",4:39388825
rs45613035-<b>C</b>,"6 x 10-19",,NR,1.107,'-,[1.09-1.13],KIAA1109,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",4:122219915
rs17454584-<b>G</b>,"2 x 10-21",,NR,1.082,'-,[1.07-1.1],"IL2, ADAD1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",4:122432277
rs62322662-<b>G</b>,"2 x 10-18",,NR,1.119,'-,[1.09-1.14],"IL2, ADAD1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",4:122438414
rs16903574-<b>G</b>,"9 x 10-13",,NR,1.098,'-,[1.07-1.12],OTULINL,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:14610200
rs11742240-<b>G</b>,"2 x 10-13",,NR,1.057,'-,[1.04-1.07],"AC112204.3, IL7R",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:35881274
rs7734635-<b>G</b>,"2 x 10-29",,NR,1.111,'-,[1.09-1.13],"AC008782.1, SLC25A46",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:110823145
rs540485182-<b>CA</b>,"2 x 10-29",,NR,1.112,'-,[1.09-1.13],"AC008782.1, SLC25A46",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:110825775
rs1837253-<b>C</b>,"1 x 10-41",,NR,1.11,'-,[1.09-1.13],"TSLP, AC010395.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:111066174
rs1898671-<b>T</b>,"1 x 10-38",,NR,1.097,'-,[1.08-1.11],TSLP,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:111072304
rs6594499-<b>C</b>,"6 x 10-37",,NR,1.09,'-,[1.08-1.1],"WDR36, AC010468.2",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",5:111134439
rs301816-<b>A</b>,"1 x 10-12",,NR,1.05,'-,[1.04-1.06],RERE,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:8444998
rs11121240-<b>T</b>,"2 x 10-9",,NR,1.042,'-,[1.03-1.06],RERE,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:8834298
rs67551275-<b>T</b>,"6 x 10-11",,NR,1.046,'-,[1.03-1.06],SPSB1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:9296617
rs541559418-<b>A</b>,"2 x 10-10",,NR,1.215,'-,[1.15-1.28],TDRKH,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:151788046
rs4845604-<b>G</b>,"3 x 10-14",,NR,1.077,'-,[1.06-1.1],RORC,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:151829204
rs115045402-<b>A</b>,"2 x 10-20",,NR,1.249,'-,[1.2-1.3],"SPTLC1P4, S100A11",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:152057072
rs12123821-<b>T</b>,"4 x 10-24",,NR,1.177,'-,[1.15-1.21],"FLG-AS1, AL589986.2",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:152206676
rs61816761-<b>A</b>,"1 x 10-30",,NR,1.323,'-,[1.28-1.37],"FLG, FLG-AS1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:152313385
rs2070901-<b>T</b>,"9 x 10-12",,NR,1.054,'-,[1.04-1.07],FCER1G,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:161215268
rs2056625-<b>G</b>,"5 x 10-21",,NR,1.067,'-,[1.05-1.08],CD247,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:167451062
rs1617333-<b>A</b>,"2 x 10-19",,NR,1.065,'-,[1.05-1.08],CD247,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:167467033
rs1102705-<b>G</b>,"1 x 10-7",,NR,1.066,'-,[1.04-1.09],"SLC25A38P1, FASLG",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:172731728
rs10158467-<b>G</b>,"7 x 10-12",,NR,1.053,'-,[1.04-1.07],"GOT2P2, AL022310.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:173162354
rs17668708-<b>C</b>,"4 x 10-10",,NR,1.071,'-,[1.05-1.09],PTPRC,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:198671359
rs12023876-<b>G</b>,"9 x 10-11",,NR,1.048,'-,[1.03-1.06],"ADORA1, AC105940.2",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",1:203124073
rs3856439-<b>C</b>,"5 x 10-19",,NR,1.066,'-,[1.05-1.08],LINC00299,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:8319274
rs74180212-<b>G</b>,"1 x 10-19",,NR,1.067,'-,[1.05-1.08],IL1R1-AS1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:102181785
rs78545931-<b>A</b>,"2 x 10-28",,NR,1.235,'-,[1.2-1.27],"FAM183DP, IL1RL1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:102265892
rs60227565-<b>G</b>,"5 x 10-71",,NR,1.195,'-,[1.18-1.21],"IL1RL1, FAM183DP",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:102275879
rs12470864-<b>A</b>,"2 x 10-56",,NR,1.117,'-,[1.1-1.13],"FAM183DP, IL1RL1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:102309902
rs72823641-<b>T</b>,"5 x 10-76",,NR,1.196,'-,[1.18-1.22],"IL1RL1, IL18R1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:102319699
rs1861245-<b>C</b>,"1 x 10-52",,NR,1.117,'-,[1.1-1.13],"IL18R1, IL1RL1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:102350446
rs143326447-<b>C</b>,"4 x 10-7",,NR,1.055,'-,[1.04-1.07],"AC017002.3, MIR4435-2HG, AC017002.4, SOCAR",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:111511155
rs2381712-<b>G</b>,"9 x 10-7",,NR,1.034,'-,[1.02-1.05],"RPL6P5, AC092484.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",2:145387450
rs12965763-<b>A</b>,"1 x 10-8",,NR,1.048,'-,[1.03-1.06],POLI,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",18:54290038
rs12964116-<b>G</b>,"1 x 10-6",,NR,1.092,'-,[1.06-1.13],SERPINB7,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",18:63775385
rs2918302-<b>A</b>,"9 x 10-7",,NR,1.047,'-,[1.03-1.06],LINC01862,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",19:8675909
rs10413947-<b>G</b>,"1 x 10-8",,NR,1.045,'-,[1.03-1.06],"BOLA3P2, MUC16",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",19:9017666
rs117710327-<b>C</b>,"1 x 10-27",,NR,1.162,'-,[1.13-1.19],"AC008738.6, SLC7A10",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",19:33235672
rs2766667-<b>T</b>,"5 x 10-10",,NR,1.049,'-,[1.03-1.06],AL157838.1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",20:53555865
rs2738783-<b>G</b>,"2 x 10-7",,NR,1.045,'-,[1.03-1.06],"RTEL1-TNFRSF6B, RTEL1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",20:63677259
rs11088309-<b>G</b>,"2 x 10-15",,NR,1.08,'-,[1.06-1.1],RUNX1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",21:35092334
rs5758364-<b>A</b>,"1 x 10-10",,NR,1.055,'-,[1.04-1.07],PHF5A,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",22:41459908
rs850637-<b>G</b>,"6 x 10-12",,NR,1.04,'-,[1.03-1.05],"TMSB4X, FAM9C",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",X:13005622
rs5953283-<b>A</b>,"7 x 10-11",,NR,1.038,'-,[1.03-1.05],PPP1R3F,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",X:49283326
rs2381712-<b>T</b>,"4 x 10-8",,0.481,1.0570824,'-,[1.04-1.08],"RPL6P5, AC092484.1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",2:145387450
rs1893380-<b>C</b>,"5 x 10-6",,0.378,1.047,'-,[1.03-1.07],"SMAD4, SRSF10P1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",18:51121270
rs1655558-<b>G</b>,"1 x 10-6",,0.545,1.05,'-,[1.03-1.07],ITPKA,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",15:41495387
rs11412402-<b>?</b>,"5 x 10-7",,0.474,1.051,'-,[1.03-1.07],"AL449214.1, EEFSEC","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",3:128194004
rs113092121-<b>?</b>,"8 x 10-7",,0.562,1.051,'-,[1.03-1.07],KIF11,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",10:92624757
rs9391997-<b>G</b>,"2 x 10-7",,0.529,1.053,'-,[1.03-1.07],IRF4,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",6:409119
rs274943-<b>T</b>,"3 x 10-7",,0.516,1.053,'-,[1.03-1.07],AL445623.2,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",9:23585841
rs188074962-<b>G</b>,"2 x 10-6",,0.352,1.053,'-,[1.03-1.07],"RPL12P33, HNF1A-AS1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",12:120927628
rs2070901-<b>T</b>,"1 x 10-6",,0.268,1.054,'-,[1.03-1.08],FCER1G,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",1:161215268
rs11065979-<b>C</b>,"2 x 10-7",,0.558,1.054,'-,[1.03-1.07],"BRAP, ATXN2-AS","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",12:111621753
rs892225-<b>G</b>,"2 x 10-7",,0.378,1.055,'-,[1.04-1.07],SBNO2,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",19:1152657
rs62408233-<b>G</b>,"3 x 10-7",,0.643,1.056,'-,[1.03-1.08],BACH2,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",6:90266890
rs12531500-<b>A</b>,"7 x 10-8",,0.565,1.056,'-,[1.04-1.08],"EEF1A1P27, ITGB8","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",7:20504586
rs479844-<b>G</b>,"5 x 10-8",,0.552,1.056,'-,[1.04-1.08],"OVOL1, AP5B1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",11:65784486
rs1775554-<b>A</b>,"2 x 10-46",,NR,1.103,'-,[1.09-1.12],"LINC00709, AC044784.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:9012377
rs1612986-<b>C</b>,"2 x 10-40",,NR,1.124,'-,[1.11-1.14],"LINC00709, AC044784.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:9022753
rs10995245-<b>A</b>,"1 x 10-8",,NR,1.042,'-,[1.03-1.06],"AC024598.1, AC067752.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:62631615
rs113092121-<b>TTCTC</b>,"1 x 10-12",,NR,1.05,'-,[1.04-1.06],KIF11,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",10:92624757
rs28415845-<b>C</b>,"4 x 10-12",,NR,1.053,'-,[1.04-1.07],"MUC2, MUC5AC",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:1151933
rs2052690-<b>T</b>,"1 x 10-7",,NR,1.041,'-,[1.03-1.05],MRVI1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:10642486
rs10836538-<b>G</b>,"6 x 10-12",,NR,1.05,'-,[1.04-1.06],PRR5L,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:36343703
rs174535-<b>T</b>,"7 x 10-12",,NR,1.05,'-,[1.04-1.06],"MYRF, TMEM258",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:61783884
rs479844-<b>G</b>,"3 x 10-14",,NR,1.053,'-,[1.04-1.07],"OVOL1, AP5B1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:65784486
rs7936312-<b>T</b>,"3 x 10-64",,NR,1.122,'-,[1.11-1.14],"AP001189.2, EMSY",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:76582682
rs55646091-<b>A</b>,"9 x 10-42",,NR,1.24,'-,[1.21-1.27],"EMSY, AP001189.2",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:76588387
rs11236797-<b>A</b>,"6 x 10-62",,NR,1.12,'-,[1.11-1.13],"AP001189.2, EMSY",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:76588605
rs1784775-<b>C</b>,"2 x 10-9",,NR,1.046,'-,[1.03-1.06],"SIK2, LAYN",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:111601736
rs12365699-<b>G</b>,"7 x 10-12",,NR,1.064,'-,[1.05-1.08],"CXCR5, AP004609.1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:118872577
rs140522418-<b>G</b>,"3 x 10-8",,NR,1.051,'-,[1.03-1.07],"ETS1, LINC02098",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",11:128302942
rs2544026-<b>T</b>,"9 x 10-8",,NR,1.043,'-,[1.03-1.06],HDAC7,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:47792780
rs62623446-<b>T</b>,"2 x 10-9",,NR,1.082,'-,[1.06-1.11],TESPA1,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:54974507
rs705700-<b>C</b>,"4 x 10-23",,NR,1.07,'-,[1.06-1.08],RAB5B,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:55995509
rs7302200-<b>A</b>,"8 x 10-25",,NR,1.077,'-,[1.06-1.09],"RPS26, ERBB3",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:56055651
rs1059513-<b>T</b>,"6 x 10-28",,NR,1.127,'-,[1.11-1.15],STAT6,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:57095926
rs3122929-<b>T</b>,"8 x 10-34",,NR,1.088,'-,[1.07-1.1],STAT6,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:57115319
rs11065979-<b>C</b>,"3 x 10-7",,NR,1.036,'-,[1.02-1.05],"BRAP, ATXN2-AS",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:111621753
rs188074962-<b>G</b>,"6 x 10-11",,NR,1.048,'-,[1.03-1.06],"RPL12P33, HNF1A-AS1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",12:120927628
rs28635831-<b>A</b>,"1 x 10-7",,NR,1.039,'-,[1.03-1.05],COG6,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",13:39745817
rs1887704-<b>G</b>,"3 x 10-17",,NR,1.063,'-,[1.05-1.08],UBAC2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",13:99322238
rs4771332-<b>C</b>,"5 x 10-18",,NR,1.066,'-,[1.05-1.08],"AL136961.1, CCR12P",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",13:99418203
rs17103286-<b>G</b>,"1 x 10-9",,NR,1.042,'-,[1.03-1.06],"NFKBIA, DNAJC8P1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",14:35415835
rs1885013-<b>G</b>,"3 x 10-13",,NR,1.056,'-,[1.04-1.07],RAD51B,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",14:68287978
rs1655558-<b>G</b>,"8 x 10-12",,NR,1.048,'-,[1.03-1.06],ITPKA,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",15:41495387
rs7183955-<b>A</b>,"2 x 10-21",,NR,1.086,'-,[1.07-1.1],RORA,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",15:60757370
rs11071559-<b>C</b>,"4 x 10-24",,NR,1.107,'-,[1.09-1.13],RORA,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",15:60777789
rs117683492-<b>A</b>,"1 x 10-8",,NR,1.156,'-,[1.11-1.21],SMAD3,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",15:67121286
rs72743461-<b>A</b>,"3 x 10-46",,NR,1.121,'-,[1.11-1.14],SMAD3,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",15:67149412
rs34445740-<b>C</b>,"5 x 10-19",,NR,1.069,'-,[1.06-1.08],SMAD3,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",15:67183427
rs35441874-<b>T</b>,"4 x 10-34",,NR,1.1,'-,[1.08-1.12],CLEC16A,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",16:11119164
rs12935657-<b>G</b>,"7 x 10-34",,NR,1.1,'-,[1.08-1.12],CLEC16A,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",16:11125184
rs3785356-<b>T</b>,"3 x 10-14",,NR,1.058,'-,[1.04-1.07],IL4R,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",16:27337847
rs3024655-<b>G</b>,"4 x 10-20",,NR,1.139,'-,[1.11-1.17],IL4R,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",16:27358181
rs2066844-<b>T</b>,"6 x 10-9",,NR,1.098,'-,[1.07-1.13],NOD2,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",16:50712015
rs4795399-<b>T</b>,"1 x 10-45",,NR,1.101,'-,[1.09-1.11],GSDMB,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:39905186
rs117097909-<b>A</b>,"2 x 10-17",,NR,1.135,'-,[1.11-1.16],GSDMB,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:39908718
rs201413617-<b>C</b>,"2 x 10-7",,NR,1.134,'-,[1.09-1.18],GSDMB,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:39917590
rs9893132-<b>G</b>,"4 x 10-10",,NR,1.045,'-,[1.03-1.06],"AC004585.2, SMARCE1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:40598769
rs112401631-<b>A</b>,"2 x 10-20",,NR,1.254,'-,[1.21-1.3],"AC004585.2, SMARCE1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:40608272
rs8067124-<b>T</b>,"5 x 10-17",,NR,1.249,'-,[1.2-1.3],"KRT223P, KRT24",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:40713238
rs9895436-<b>A</b>,"6 x 10-7",,NR,1.035,'-,[1.02-1.05],"ARHGAP27, AC003070.2",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:45380520
rs56308324-<b>T</b>,"1 x 10-9",,NR,1.063,'-,[1.04-1.08],TBX21,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:47741840
rs12952581-<b>A</b>,"7 x 10-16",,NR,1.059,'-,[1.05-1.07],AC091180.6,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:49370984
rs10667251-<b>A</b>,"1 x 10-14",,NR,1.055,'-,[1.04-1.07],AC091180.6,Asthma,asthma,GCST007798,30929738,"Ferreira MAR",17:49388382
rs1893380-<b>C</b>,"6 x 10-8",,NR,1.038,'-,[1.02-1.05],"SMAD4, SRSF10P1",Asthma,asthma,GCST007798,30929738,"Ferreira MAR",18:51121270
rs4722758-<b>G</b>,"5 x 10-6",,0.198,1.057,'-,[1.03-1.08],JAZF1,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",7:28116987
rs58521088-<b>A</b>,"3 x 10-7",,0.643,1.057,'-,[1.04-1.08],BACH2,"Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",6:90275479
rs10158467-<b>G</b>,"1 x 10-7",,0.282,1.059,'-,[1.04-1.08],"GOT2P2, AL022310.1","Asthma onset (childhood vs adult)","age at onset, asthma",GCST007797,30929738,"Ferreira MAR",1:173162354
